iter	Passed	Remaining
0	81	81728
1	126	63009
2	166	55203
3	204	50977
4	243	48446
5	277	45923
6	312	44292
7	347	43053
8	380	41873
9	413	40939
10	448	40304
11	480	39566
12	519	39408
13	550	38747
14	582	38269
15	616	37906
16	656	37965
17	689	37631
18	722	37326
19	757	37102
20	797	37184
21	830	36931
22	863	36695
23	896	36468
24	932	36379
25	969	36327
26	1002	36111
27	1036	35971
28	1072	35926
29	1106	35765
30	1139	35618
31	1176	35593
32	1212	35544
33	1249	35490
34	1282	35362
35	1321	35382
36	1357	35320
37	1391	35223
38	1426	35154
39	1459	35023
40	1495	34969
41	1527	34849
42	1559	34710
43	1594	34642
44	1633	34666
45	1666	34560
46	1701	34494
47	1734	34403
48	1773	34410
49	1809	34379
50	1842	34283
51	1874	34180
52	1908	34107
53	1946	34094
54	1979	34005
55	2013	33947
56	2052	33949
57	2084	33853
58	2121	33842
59	2155	33765
60	2190	33722
61	2261	34212
62	2296	34148
63	2336	34164
64	2403	34566
65	2442	34561
66	2475	34471
67	2509	34388
68	2545	34347
69	2579	34273
70	2615	34224
71	2654	34215
72	2691	34178
73	2724	34096
74	2763	34083
75	2799	34035
76	2835	33987
77	2868	33907
78	2903	33845
79	2939	33804
80	2975	33760
81	3009	33697
82	3041	33608
83	3076	33551
84	3113	33518
85	3145	33429
86	3179	33366
87	3212	33295
88	3255	33321
89	3291	33280
90	3331	33274
91	3367	33232
92	3407	33227
93	3441	33166
94	3473	33091
95	3513	33082
96	3549	33044
97	3582	32970
98	3615	32908
99	3653	32880
100	3689	32838
101	3724	32791
102	3758	32736
103	3796	32709
104	3832	32666
105	3865	32601
106	3899	32548
107	3938	32527
108	3974	32485
109	4005	32412
110	4039	32353
111	4078	32332
112	4115	32305
113	4149	32246
114	4184	32203
115	4220	32166
116	4260	32153
117	4296	32111
118	4331	32067
119	4365	32014
120	4401	31976
121	4441	31966
122	4476	31918
123	4510	31863
124	4548	31841
125	4582	31784
126	4615	31727
127	4648	31668
128	4690	31668
129	4722	31605
130	4758	31568
131	4792	31512
132	4827	31468
133	4864	31437
134	4897	31381
135	4931	31332
136	4968	31298
137	5000	31237
138	5034	31183
139	5068	31133
140	5108	31119
141	5141	31064
142	5174	31008
143	5207	30955
144	5245	30932
145	5283	30907
146	5316	30851
147	5349	30798
148	5386	30765
149	5424	30739
150	5457	30683
151	5490	30629
152	5527	30597
153	5565	30571
154	5597	30517
155	5631	30467
156	5667	30428
157	5700	30381
158	5739	30360
159	5775	30321
160	5811	30282
161	5843	30229
162	5878	30187
163	5912	30141
164	5950	30113
165	5985	30070
166	6018	30020
167	6052	29976
168	6092	29958
169	6125	29906
170	6158	29857
171	6192	29810
172	6227	29771
173	6264	29739
174	6297	29687
175	6332	29649
176	6369	29618
177	6404	29575
178	6438	29532
179	6472	29483
180	6509	29452
181	6545	29416
182	6578	29369
183	6611	29320
184	6647	29282
185	6678	29227
186	6717	29206
187	6751	29160
188	6788	29130
189	6823	29090
190	6857	29045
191	6892	29006
192	6931	28981
193	6963	28932
194	6996	28884
195	7035	28858
196	7070	28821
197	7103	28773
198	7136	28725
199	7172	28691
200	7207	28652
201	7245	28623
202	7277	28572
203	7352	28689
204	7384	28635
205	7422	28610
206	7455	28559
207	7491	28526
208	7529	28496
209	7562	28449
210	7598	28412
211	7629	28357
212	7666	28326
213	7702	28289
214	7739	28259
215	7776	28226
216	7813	28194
217	7846	28148
218	7880	28102
219	7918	28074
220	7955	28043
221	7989	28000
222	8023	27954
223	8053	27898
224	8087	27855
225	8128	27839
226	8163	27799
227	8195	27748
228	8234	27725
229	8269	27685
230	8302	27640
231	8335	27593
232	8374	27568
233	8410	27532
234	8443	27484
235	8474	27435
236	8512	27405
237	8549	27372
238	8584	27332
239	8617	27288
240	8652	27250
241	8686	27209
242	8721	27170
243	8754	27124
244	8795	27105
245	8829	27061
246	8861	27015
247	8896	26976
248	8930	26936
249	8966	26900
250	8999	26856
251	9031	26808
252	9066	26768
253	9098	26720
254	9130	26674
255	9167	26643
256	9203	26606
257	9237	26565
258	9269	26520
259	9306	26488
260	9343	26455
261	9375	26409
262	9409	26366
263	9441	26322
264	9481	26299
265	9517	26262
266	9551	26221
267	9586	26183
