Feature,Importance
ichimoku_conversion_line,18610.723960741423
sma_fast,18187.63539576379
ema_fast,8850.294264208991
vwap,2649.6967037732247
bb_low,2639.615270813345
Close_mean_10,1827.6663936772384
kc_low,1301.2926171500003
Close_mean_5_plus_BBW,1298.0064632083522
sma_slow,519.8801449483726
ichimoku_lagging,484.9363157872576
Close_lag_1,395.79700529691763
kc_high,160.3687046840787
ichimoku_base_line,104.27538759482559
ema_slow,44.670279148384
ichimoku_a,42.100776329636574
Close_std_50,17.280536543694325
USDJPY_sma100,16.622626889147796
Close_std_100,16.392144976300187
RSI_minus_MACD,15.783919577836059
days_until_next_earnings,14.517486126045696
USDJPY_sma20,14.363012235611677
adx,14.150388897047378
Close_lag_20,14.067724994616583
Close_mean_100,11.935475627775304
Volume_mean_100,11.589193671825342
ichimoku_b,11.45448965835385
Volume_mean_50,11.308032060158439
Volume_mean_10,11.2268713779049
Close_std_30,10.352965987054631
Volume_mean_20,9.448655554675497
kc_width,9.061628414783627
Close_std_10,8.17325545544736
bb_high,7.929674983723089
Close_to_sma5,7.493901343084872
macd_signal,7.481273549143225
Close_pct_change_5,7.335447267629206
macd,6.484276037663221
Close_pct_change_30,6.475461367634125
rsi,6.392033764044754
atr,6.388076144270599
stoch_k,6.3719646744430065
Volume_mean_30,5.812802474363707
Close_lag_10,5.121721435920335
RSI_MACD_Imbalance,4.699428410618566
RSI_plus_MACD,4.621638415032066
adx_neg,4.450223423773423
Close_mean_30,4.441029217327014
Close_to_vwap,4.333227768423967
Close_mean_50,4.297912061563693
Volume_mean_5,4.260108653572388
Close_pct_change_3,4.100215338403359
USDJPY_sma5,4.050314909080043
adx_pos,3.9263031602604315
USDJPY_lag_10,3.825685699353926
cci,3.7626502172788605
obv,3.759374619810842
USDJPY_lag_1,3.7381126334657893
USDJPY_lag_5,3.4233515488449484
Close_lag_15,3.3808304036501795
Close_std_5,3.3426846609218046
macd_diff,3.2605114810867235
month,3.2536263332003728
Close_lag_30,3.1919589854078367
Close_pct_change_1,3.1070022031199187
Close_pct_change_20,2.9813116881996393
Close_lag_5,2.9606976999202743
bb_width,2.908827030332759
Close_std_20,2.7912384384544566
Close_pct_change_10,2.776956799789332
Open_volatility,2.762389662093483
Volume_lag_20,2.738563266233541
stoch_d,2.3609474590048194
BBW_times_VWAP,2.197623840533197
USDJPY_lag_3,1.7528439618181437
Close_lag_5_div_SMA5,1.7482380496803671
Close_lag_3,1.6911963514285162
Close_pct_change_15,1.6116356223355979
Volume_lag_15,1.5241542023140937
USDJPY_pct_change,1.4896374463569373
Volume_lag_10,1.3037238083779812
Volume_Imbalance,1.2781992161180824
Volume_lag_30,1.182665160507895
High_Low_diff,1.1650600016582757
Open_to_prev_close,1.0032958220690489
Volume_lag_5,0.9439379976829514
Buy_Sell_Imbalance,0.9385323595488444
USDJPY_pct_change_lag_3,0.917143247439526
Open_to_sma5,0.8794547761790454
Close_lag_3_div_Volume_lag_3,0.8595846198732033
Volume_lag_3,0.7520067081786692
USDJPY_atr,0.7398670300608501
USDJPY_pct_change_lag_1,0.7305438902694732
Close_lag_1_times_Volume_lag_1,0.6778654892696068
Close_lag_1_div_Volume_lag_1,0.5699772011721507
Close_Open_diff,0.5555138193303719
days_until_next_earnings_cat,0.4217657196568325
Volume_lag_1,0.32737207028549165
day_of_week,0.024953279877081513
is_month_end,0.012376950238831341
Close_lag_1_plus_Volume_lag_1,0.0018997800070792437
Close_SMA5_diff,0.0
Close_mean_5,0.0
Close_volatility,0.0
is_earnings_day,0.0
quarter,0.0
Close_mean_20,0.0
