Model,RMSE,MAE
LightGBM_i+1,46.43588686176468,35.51597303514499
LightGBM_i+2,48.506192273439744,36.77965802137058
LightGBM_i+3,50.34159080459336,37.71521622621587
LightGBM_i+4,52.58663356461035,40.060964222985675
LightGBM_i+5,55.2538594346889,43.02538059608469
LSTM_i+1,37.311815238186455,29.029703270574533
LSTM_i+2,35.84314578421229,25.363639120729815
LSTM_i+3,39.79019651217484,30.28524723408385
LSTM_i+4,43.166882182427535,32.14319567946914
LSTM_i+5,37.38667936900447,29.951412982822205
LSTM_i+1,[20.21043568277886],[14.773127775014558]
LSTM_i+2,[21.63170750795026],[14.770529800320263]
LSTM_i+3,[21.715362821076095],[14.943169824825311]
LSTM_i+4,[23.870469374707938],[16.765883925538624]
LSTM_i+5,[24.686529350455842],[18.487717527780475]
LSTM_i+1,[44.26614739879364],[32.644716646410544]
LSTM_i+2,[47.393857233219926],[34.65375705244218]
LSTM_i+3,[50.02548963957585],[35.81987086443267]
LSTM_i+4,[73.72872546233165],[45.388667342135506]
LSTM_i+5,[63.71703342032857],[44.83765787372518]
LSTM_i+1,[90.66827256471167],[72.6915582692401]
LSTM_i+2,[130.38319235003885],[105.06763718883444]
LSTM_i+3,[78.81360847878264],[63.9249574649408]
LSTM_i+4,[101.51668247718611],[81.5696706831085]
LSTM_i+5,[104.77764382510044],[86.72067772527659]
LSTM_i+1,[29.13305305325004],[22.09035174446817]
LSTM_i+2,[29.950989549684156],[22.755780901227677]
LSTM_i+3,[36.60307354714169],[26.698723644943712]
LSTM_i+4,[35.712105896963685],[26.769324640309588]
LSTM_i+5,[39.517881621044474],[30.62918716335889]
